itest_id,num_of_q_per_session,n_sessions
9,39.1428571429,7
27,8.5714285714,7
33,21.8333333333,6
35,33.0714285714,14
37,17,3
41,33.5,6
77,16.6,10
87,39.4,5
114,27.6666666667,6
126,22,11
129,36.625,8
176,42.2,5
190,37.7142857143,7
205,36.2222222222,9
224,21.9285714286,14
237,26.4,5
240,35.5714285714,7
263,25.4,5
269,31.3333333333,9
282,34.125,8
283,48.7,10
303,19.6666666667,6
321,28.6666666667,6
334,54.1428571429,7
360,37.6153846154,13
363,48.1666666667,12
376,24.8,5
387,17.5555555556,9
390,32.8333333333,6
391,62.5,8
403,60.2,5
413,28.6666666667,9
462,16.4,5
473,28,7
476,54.7777777778,9
493,37.5,4
511,34.4285714286,7
522,25.5714285714,7
621,25.2727272727,11
636,33.6666666667,9
638,36.8,5
640,37.2222222222,9
661,20.3333333333,3
676,39.5,8
684,27.6666666667,12
688,45.4,5
738,19.75,4
739,48,6
747,28.1666666667,6
756,30,6
799,21.8571428571,7
808,41.3333333333,12
826,26.9166666667,12
828,44.6923076923,13
832,64.2727272727,11
848,52.6,5
869,24.875,8
887,21.2,5
892,19.3333333333,3
894,37.5,8
898,44.1,10
922,32.5714285714,7
943,34.3333333333,9
964,44.75,8
998,33.5833333333,12
1046,41.4,10
1047,28.8571428571,7
1099,32.75,4
1107,41.125,16
1109,36,5
1135,47.5,8
1177,33.1428571429,14
1203,31.4,5
1234,41.3333333333,3
1238,17.7142857143,7
1277,19,2
1282,8,4
1301,24.25,4
1305,35,8
1309,9.125,8
1348,27.6666666667,9
1350,52.8,5
1371,29.875,8
1375,35.625,8
1417,14,10
1456,19.6666666667,3
1460,30.5,4
1469,30.8571428571,7
1470,35,2
1538,24.5454545455,11
1551,36.5714285714,14
1572,34.9166666667,12
1598,40.625,8
1599,30.3,10
1607,31.3636363636,11
1621,42.6,5
1649,31,11
1658,24.3333333333,9
1660,30.3846153846,13
1667,5,1
1670,32.8,5
1684,12.3333333333,6
1707,24.75,4
1723,22.75,4
1764,61.1818181818,11
1765,29,5
1788,21.75,8
1824,61.6,5
1849,13.1111111111,9
1851,15,4
1858,31.6923076923,13
1867,21.25,4
1877,39.8333333333,6
1881,38.125,8
1884,17.5,4
1892,39,6
1896,12,4
1915,18.2,5
1922,37.4,10
1951,17.5714285714,7
1960,30.5833333333,12
1961,46.3,10
1962,21.7142857143,7
1980,53.8,5
2019,32.5384615385,13
2042,29.0666666667,15
2071,30.1,10
2106,9,6
2115,13.8571428571,7
2156,27,5
2163,35.5625,16
2222,28.2222222222,9
2230,34,8
2233,21.1666666667,6
2252,22.1428571429,14
2263,20.2,10
2271,24.25,12
2278,25.4285714286,7
2291,26.8571428571,7
2297,24.3333333333,12
2309,36.3846153846,13
2339,21.5833333333,12
2343,3.25,4
2370,31,2
2372,24.3333333333,3
2392,20.7142857143,7
2396,21.2222222222,9
2421,40.1818181818,11
2451,34.4166666667,12
2453,58.7142857143,7
2481,36.4166666667,12
2492,18,4
2513,32,5
2533,19.6666666667,3
2535,10.3333333333,6
2570,36.1,10
2607,77.25,8
2614,47,5
2620,10,10
2663,30.5454545455,11
2678,19,8
2688,35.6153846154,13
2691,17.6666666667,3
