itest_id,aveknow,avecarelessness,avecorrect,numactions,averesbored,averesengcon,averesconf,averesfrust,averesofftask,averesgaming,actioncount,bottomhint,correct,correctrate,filedin,frhrate,frscaffoldh,hint,hintrate,scaffold,timeover80,timeover80rate,timetaken,timetohint,workinschoolrate,wrong,wrongrate,actioncount_M,bottomhint_M,correct_M,correctrate_M,filedin_M,frhrate_M,frscaffoldh_M,hint_M,hintrate_M,scaffold_M,timeover80_M,timeover80rate_M,timetaken_M,timetohint_M,workinschoolrate_M,wrong_M,wrongrate_M,actioncount_H,bottomhint_H,correct_H,correctrate_H,filedin_H,frhrate_H,frscaffoldh_H,hint_H,hintrate_H,scaffold_H,timeover80_H,timeover80rate_H,timetaken_H,timetohint_H,workinschoolrate_H,wrong_H,wrongrate_H,actioncount_E,bottomhint_E,correct_E,correctrate_E,filedin_E,frhrate_E,frscaffoldh_E,hint_E,hintrate_E,scaffold_E,timeover80_E,timeover80rate_E,timetaken_E,timetohint_E,workinschoolrate_E,wrong_E,wrongrate_E,average_questions_by_day,average_questions_by_mon,counts_day_answer,counts_mon_answer,std_questions_by_day,std_questions_by_mon,average_questions_by_day_M,average_questions_by_mon_M,counts_day_answer_M,counts_mon_answer_M,std_questions_by_day_M,std_questions_by_mon_M,average_questions_by_day_H,average_questions_by_mon_H,counts_day_answer_H,counts_mon_answer_H,std_questions_by_day_H,std_questions_by_mon_H,average_questions_by_day_E,average_questions_by_mon_E,counts_day_answer_E,counts_mon_answer_E,std_questions_by_day_E,std_questions_by_mon_E,wrong_and_over80,wrong_and_over80_M,wrong_and_over80_H,wrong_and_over80_E
8,0.35241647600000003,0.183275651,0.483901515,1056,0.208389043,0.679125891,0.115905392,0.112408083,0.156503046,0.196560996,2.1162324649298596,0.1062124248496994,1.0240480961923848,0.6533929089540312,0.050100200400801605,0.33453376208887237,0.4593949804370646,0.5390781563126252,0.13137390702520965,0.7615230460921844,0.10420841683366733,0.07231314480813478,47.11623246153707,4.37074147588978,0.9141616566466266,0.5531062124248497,0.21523318402075917,1.8280542986425339,0.049773755656108594,0.9683257918552036,0.6983498527616175,0.06334841628959276,0.33862134597428717,0.4434389140271493,0.2986425339366516,0.07404654169360052,0.7330316742081447,0.11312217194570136,0.08081950729009553,48.923076933176496,2.1357466117194566,0.9411764705882353,0.5610859728506787,0.22760360554478207,2.3496503496503496,0.13986013986013987,1.1608391608391608,0.6158984954439501,0.04895104895104895,0.3612198407652953,0.4701964701964702,0.7272727272727273,0.18790300608482427,0.7202797202797203,0.13286713286713286,0.09522144522144523,49.06293706072028,7.3006992724965025,0.8682983682983684,0.46153846153846156,0.19619849847122567,2.3037974683544302,0.21518987341772153,0.9240506329113924,0.5618143459915612,0.0379746835443038,0.3542194092827004,0.5632911392405063,0.9620253164556962,0.2396021699819168,0.759493670886076,0.05063291139240506,0.05063291139240506,37.20253159134177,4.278481000632911,0.9367088607594937,0.4177215189873418,0.19858348402652198,35.642857142857146,62.375,14,8,17.981217306516704,33.444783919597555,15.785714285714286,27.625,14.0,8.0,11.891681458569595,15.792742456132002,10.214285714285714,17.875,14.0,8.0,8.450567313032181,13.548194397356845,6.583333333333333,11.285714285714286,12.0,7.0,7.128155866744642,8.159131606453506,0.03807615230460922,0.02262443438914027,0.055944055944055944,0.06329113924050633
9,0.185137588,0.099733995,0.438492063,504,0.277149083,0.644744405,0.098078229,0.162770504,0.213377961,0.005554028000000001,1.9764705882352942,0.054901960784313725,0.8666666666666667,0.5980044064409389,0.0,0.46000819041066715,0.6090849673202614,0.4196078431372549,0.11343767916523333,1.0784313725490196,0.27450980392156865,0.15643405900371843,83.98823530226663,16.705882351333337,1.0,0.6901960784313725,0.2885579143938277,1.956989247311828,0.053763440860215055,0.8817204301075269,0.599236217784605,0.0,0.39233657620754386,0.5476702508960574,0.41935483870967744,0.11864652671104285,0.978494623655914,0.26881720430107525,0.17502986857825567,91.0430107638602,23.096774183258066,1.0,0.6559139784946236,0.2821172555043523,2.0657894736842106,0.06578947368421052,0.868421052631579,0.6033240997229917,0.0,0.5480955678670361,0.6914473684210526,0.40789473684210525,0.08404893813481071,1.3289473684210527,0.27631578947368424,0.12184903047091412,82.47368422282894,15.065789475,1.0,0.7894736842105263,0.3126269621421976,2.0144927536231885,0.057971014492753624,0.855072463768116,0.5796066252587991,0.0,0.4527950310559006,0.5917874396135265,0.4927536231884058,0.15345065562456864,0.9565217391304348,0.30434782608695654,0.1645272601794341,83.98550723008695,13.463768125869565,1.0,0.6666666666666666,0.2669427191166322,36.42857142857143,51.0,7,5,13.624208146495986,14.212670403551895,13.285714285714286,18.6,7.0,5.0,6.600865744084527,8.792041856133308,10.857142857142858,15.2,7.0,5.0,7.988086367179802,8.613942186943211,9.857142857142858,13.8,7.0,5.0,5.550632739564365,3.03315017762062,0.07058823529411765,0.06451612903225806,0.06578947368421052,0.057971014492753624
11,0.124831573,0.090318308,0.326956522,575,0.262076397,0.6434175999999999,0.147169095,0.118976539,0.208980886,0.08345938,2.5669642857142856,0.13839285714285715,0.8392857142857143,0.4697712939342405,0.0,0.3912441539115647,0.6804793792517007,0.6517857142857143,0.14887595663265304,1.4732142857142858,0.3392857142857143,0.18473639455782315,120.5401785684777,17.482142876223218,0.9787946428571429,1.0758928571428572,0.3813527494331067,2.948453608247423,0.16494845360824742,0.865979381443299,0.4558316969399444,0.0,0.35610579283259686,0.6659180166912125,0.8247422680412371,0.16540868924889543,1.6082474226804124,0.4536082474226804,0.2123220422189494,167.8659793771443,25.463917558319586,0.9510309278350515,1.2577319587628866,0.3787596138111601,2.268292682926829,0.12195121951219512,0.8292682926829268,0.49445412311265974,0.0,0.47921022067363545,0.717479674796748,0.5121951219512195,0.14102787456445992,1.3658536585365855,0.24390243902439024,0.15955284552845528,85.40243902663413,13.268292684902438,1.0,0.926829268292683,0.3645180023228803,2.375,0.125,0.78125,0.44691220238095236,0.0,0.26982886904761905,0.59375,0.65625,0.1559151785714286,1.28125,0.28125,0.18601190476190474,86.65624999146874,9.09375003734375,1.0,0.9375,0.397172619047619,24.88888888888889,56.0,9,4,12.7420999490316,76.80711772572471,10.777777777777779,24.25,9.0,4.0,4.3237072570242825,27.10934648173332,10.25,20.5,8.0,4.0,8.564878449642054,35.68846685788935,4.0,8.0,8.0,4.0,3.116774889895918,12.675435561221029,0.11607142857142858,0.12371134020618557,0.12195121951219512,0.125
25,0.284903976,0.165526648,0.476718404,451,0.261452617,0.660053986,0.137153188,0.087906094,0.227680312,0.016774497,1.714828897338403,0.034220532319391636,0.8174904942965779,0.6451234232603055,0.0,0.48511074898907597,0.6273764258555133,0.25475285171102663,0.0715824732934999,1.053231939163498,0.23193916349809887,0.17280765284567565,73.45627377131562,7.212927762414448,1.0,0.6425855513307985,0.2832941034461947,1.6862745098039216,0.029411764705882353,0.8431372549019608,0.674863834422658,0.0,0.43630174291939006,0.5784313725490197,0.22549019607843138,0.06723856209150327,0.9901960784313726,0.21568627450980393,0.1469226579520697,73.39215686049019,4.401960800754902,1.0,0.6176470588235294,0.2578976034858388,1.5662650602409638,0.012048192771084338,0.7951807228915663,0.636775674125072,0.0,0.5885829030407344,0.6987951807228916,0.21686746987951808,0.07917383820998279,1.0481927710843373,0.1686746987951807,0.14457831325301204,58.783132552445785,5.650602410120483,1.0,0.5542168674698795,0.2840504876649455,2.2830188679245285,0.09433962264150944,0.8113207547169812,0.5562069481880803,0.0,0.3816786463012877,0.6226415094339622,0.49056603773584906,0.10181940700808625,1.3584905660377358,0.37735849056603776,0.25400569032644504,103.41509435426413,18.943396222603774,1.0,0.9811320754716981,0.3419736448038335,32.875,65.75,8,4,21.86606960566988,62.72891411993887,12.75,25.5,8.0,4.0,7.459413994601529,19.295940851208407,11.857142857142858,20.75,7.0,4.0,8.970852271450605,28.01636426566921,6.625,13.25,8.0,4.0,4.897156609415596,8.883505314157619,0.07984790874524715,0.06862745098039216,0.07228915662650602,0.09433962264150944
27,0.14203118,0.069297361,0.348837209,129,0.33022623100000004,0.551366771,0.122657966,0.095420442,0.34808970100000003,0.036900055,2.63265306122449,0.20408163265306123,0.9183673469387755,0.5738930737130016,0.0,0.4126785879186839,0.5588746487606032,0.7755102040816326,0.10828573187516766,0.9795918367346939,0.7142857142857143,0.3601575795153226,243.4081632501429,51.89795914204081,1.0,0.9387755102040817,0.31782119441183065,2.0,0.14285714285714285,0.7619047619047619,0.548469387755102,0.0,0.3818027210884353,0.5051020408163266,0.38095238095238093,0.07114512471655329,0.9523809523809523,0.7142857142857143,0.42942176870748294,208.57142852366664,57.61904758666666,1.0,0.8571428571428571,0.38038548752834467,2.4444444444444446,0.2222222222222222,0.8888888888888888,0.5592592592592592,0.0,0.337037037037037,0.6666666666666666,0.6666666666666666,0.13703703703703704,1.4444444444444444,0.4444444444444444,0.28148148148148144,157.333333351,10.888888862222222,1.0,0.8888888888888888,0.3037037037037037,5.0,0.45454545454545453,1.1818181818181819,0.41541546688605513,0.0,0.3336418483477307,0.5252468120115179,2.090909090909091,0.18896544631838752,0.9090909090909091,1.0909090909090908,0.2360482654600302,488.4545454200909,108.54545444363636,1.0,1.7272727272727273,0.39561908679555735,8.166666666666666,12.25,6,4,6.112828041640519,11.786291472158096,7.0,10.5,3.0,2.0,2.6457513110645907,0.7071067811865476,2.25,3.0,4.0,3.0,1.8929694486000912,2.6457513110645907,2.75,3.6666666666666665,4.0,3.0,1.707825127659933,3.785938897200183,0.16326530612244897,0.23809523809523808,0.1111111111111111,0.18181818181818182
33,0.459813486,0.202787469,0.686390533,169,0.26042619100000003,0.6507686770000001,0.059971193,0.06183416,0.296286221,0.010953873,1.2335766423357664,0.0072992700729927005,0.8467153284671532,0.7832116788321167,0.0,0.43102189781021905,0.48905109489051096,0.051094890510948905,0.012530413625304136,0.6496350364963503,0.3284671532846715,0.28515815085158147,88.23357665010947,2.9416058325547443,1.0,0.3357664233576642,0.2042579075425791,1.14,0.0,0.88,0.8406666666666668,0.0,0.42066666666666663,0.46,0.02,0.006666666666666666,0.58,0.22,0.20666666666666664,66.38000001074,2.58,1.0,0.24,0.15266666666666664,1.5384615384615385,0.038461538461538464,0.8076923076923077,0.6897435897435896,0.0,0.4974358974358974,0.6153846153846154,0.19230769230769232,0.04358974358974359,0.9615384615384616,0.5384615384615384,0.3358974358974359,97.8846153565,11.80769227153846,1.0,0.5384615384615384,0.26666666666666666,1.1929824561403508,0.0,0.8596491228070176,0.7953216374269007,0.0,0.4049707602339181,0.45614035087719296,0.017543859649122806,0.0043859649122807015,0.5789473684210527,0.3157894736842105,0.3157894736842105,100.61403509682458,-0.5087719298245614,1.0,0.3157894736842105,0.20029239766081872,22.833333333333332,45.666666666666664,6,3,17.645584905767976,36.11555528208494,10.0,16.666666666666668,5.0,3.0,9.643650760992955,14.047538337136986,6.5,13.0,4.0,2.0,5.196152422706632,11.313708498984761,14.25,28.5,4.0,2.0,9.17877987534291,20.506096654409877,0.13138686131386862,0.08,0.15384615384615385,0.14035087719298245
35,0.2551641,0.158848225,0.379657603,993,0.222795806,0.650079058,0.069987405,0.164347459,0.153146586,0.236799637,2.375598086124402,0.14832535885167464,0.9019138755980861,0.5846164999275048,0.045454545454545456,0.35970004211631007,0.5229696141179395,0.8038277511961722,0.1897470950102529,0.7559808612440191,0.17703349282296652,0.10007582736935765,58.66746412006463,9.834928228689,1.0,0.6698564593301436,0.2256364050622424,2.1262135922330097,0.11165048543689321,0.8640776699029126,0.6196344513092087,0.07766990291262135,0.4006215063253898,0.5098999705795823,0.6844660194174758,0.1635113268608414,0.7427184466019418,0.18446601941747573,0.09825684024713152,56.86407767467474,9.35436892536408,1.0,0.5776699029126213,0.21685422182994993,2.381443298969072,0.18556701030927836,0.9175257731958762,0.5295778105056457,0.010309278350515464,0.3159302896416298,0.5257731958762887,0.865979381443299,0.20500736377025042,0.7525773195876289,0.23711340206185566,0.15095729013254786,68.32989691097941,12.567010317278347,1.0,0.5979381443298969,0.2654148257241041,3.1216216216216215,0.1891891891891892,0.9459459459459459,0.5516570141570141,0.013513513513513514,0.3916398541398541,0.6292149292149293,1.027027027027027,0.22583655083655088,0.8918918918918919,0.13513513513513514,0.07091796765709808,61.50000000244595,11.459459442743244,1.0,1.1486486486486487,0.22250643500643502,29.857142857142858,59.714285714285715,14,7,20.84690400499332,48.272539763701005,14.714285714285714,29.428571428571427,14.0,7.0,11.491994346758705,23.472374846878637,7.461538461538462,13.857142857142858,13.0,7.0,5.767948575466911,12.97983784475717,6.166666666666667,10.571428571428571,12.0,7.0,4.745013331398713,11.193110125685099,0.04784688995215311,0.038834951456310676,0.07216494845360824,0.06756756756756757
37,0.071909241,0.046183228,0.305785124,121,0.326383714,0.6534446429999999,0.12532470199999998,0.094714277,0.45146704,0.016241102,2.630434782608696,0.15217391304347827,0.8043478260869565,0.4000258799171843,0.0,0.5521997929606625,0.7047101449275364,0.9782608695652174,0.3444616977225673,1.5217391304347827,0.5217391304347826,0.19730848861283642,167.13043478802177,38.065217381652175,1.0,0.8478260869565217,0.25551242236024846,2.5,0.25,0.875,0.4625,0.0,0.5875,0.875,1.25,0.41875,1.25,0.25,0.125,112.374999903125,26.5,1.0,0.375,0.11875,2.6470588235294117,0.17647058823529413,0.8823529411764706,0.45784313725490194,0.0,0.6343137254901962,0.7303921568627451,0.8823529411764706,0.2950980392156863,1.7058823529411764,0.47058823529411764,0.1607843137254902,195.5294118582941,48.999999929411764,1.0,0.8823529411764706,0.24705882352941172,2.5,0.05555555555555555,0.7222222222222222,0.3621031746031746,0.0,0.4732142857142857,0.6111111111111112,0.8333333333333334,0.31547619047619047,1.3888888888888888,0.7222222222222222,0.2857142857142857,173.94444444083334,35.44444451311111,1.0,0.9444444444444444,0.32242063492063494,15.333333333333334,15.333333333333334,3,3,3.0550504633038935,3.0550504633038935,4.0,4.0,2.0,2.0,1.4142135623730951,1.4142135623730951,5.666666666666667,5.666666666666667,3.0,3.0,1.5275252316519465,1.5275252316519465,6.0,6.0,3.0,3.0,7.0,7.0,0.043478260869565216,0.0,0.0,0.1111111111111111
39,0.281693233,0.152227072,0.454545455,418,0.274699996,0.62807454,0.116389731,0.14382699699999998,0.221926416,0.019816725,1.981042654028436,0.052132701421800945,0.9004739336492891,0.627251184834123,0.03317535545023697,0.40697975010771226,0.49296998420221166,0.38388625592417064,0.10384891569725696,0.8104265402843602,0.3080568720379147,0.14081574034180666,92.80568721392419,12.734597158758296,0.9928909952606635,0.6966824644549763,0.2688998994686199,2.1666666666666665,0.0784313725490196,0.9705882352941176,0.6356209150326798,0.06862745098039216,0.37097445038621507,0.4919934640522876,0.46078431372549017,0.09325609031491384,0.8725490196078431,0.4019607843137255,0.17707961972667854,115.46078433550981,16.568627445686275,0.988562091503268,0.7352941176470589,0.27112299465240636,2.1714285714285713,0.05714285714285714,0.7428571428571429,0.5257142857142858,0.0,0.4714285714285714,0.5238095238095237,0.4857142857142857,0.16904761904761903,1.0,0.2571428571428571,0.12333333333333332,83.05714290228572,15.200000042285716,0.9904761904761904,0.9428571428571428,0.3052380952380952,1.8837209302325582,0.023255813953488372,0.8604651162790697,0.5918604651162791,0.0,0.48914728682170544,0.5581395348837209,0.37209302325581395,0.13914728682170543,0.7906976744186046,0.23255813953488372,0.11240310077519382,79.93023253193022,11.302325576651162,1.0,0.6511627906976745,0.26899224806201555,26.375,30.142857142857142,8,7,16.81782642657147,24.113817418156554,12.75,14.571428571428571,8.0,7.0,6.819090848492928,8.79122939558025,5.0,5.833333333333333,7.0,6.0,5.228129047119373,6.306081720582652,6.142857142857143,7.166666666666667,7.0,6.0,3.484660262185848,3.9200340134578764,0.08530805687203792,0.09803921568627451,0.11428571428571428,0.06976744186046512
41,0.333401908,0.184292185,0.575250836,299,0.262823322,0.652414167,0.079203998,0.137098979,0.24949786,0.00966896,1.4656862745098038,0.0,0.8431372549019608,0.7188375350140055,0.0,0.4735760971055089,0.5,0.21568627450980393,0.09327147525676935,0.7107843137254902,0.2549019607843137,0.2150326797385621,67.0049019594608,11.779411766083335,1.0,0.4068627450980392,0.18789098972922502,1.5875,0.0,0.875,0.7372916666666668,0.0,0.5399999999999999,0.55,0.275,0.10427083333333334,0.75,0.2625,0.1827083333333333,68.2999999856625,15.537500007450001,1.0,0.4375,0.15843749999999998,1.5348837209302326,0.0,0.813953488372093,0.6947951273532668,0.0,0.47967884828349944,0.5116279069767442,0.27906976744186046,0.11129568106312294,0.7906976744186046,0.32558139534883723,0.3081395348837209,72.44186049302326,15.046511615860465,1.0,0.4418604651162791,0.1939091915836102,1.3013698630136987,0.0,0.821917808219178,0.7116438356164384,0.0,0.39657534246575343,0.4383561643835616,0.1095890410958904,0.06255707762557078,0.6164383561643836,0.2328767123287671,0.2191780821917808,63.79452053365754,5.342465746342465,1.0,0.3698630136986301,0.22579908675799087,34.0,40.8,6,5,16.816658407662327,15.706686474237653,16.0,20.0,5.0,4.0,9.848857801796104,8.04155872120988,7.166666666666667,8.6,6.0,5.0,5.52871293039046,6.985699678629192,12.166666666666666,14.6,6.0,5.0,10.028293307770104,9.555103348473002,0.09313725490196079,0.075,0.16279069767441862,0.0821917808219178
